Azonosito,Kikelesi_Sebesseg_Nap,Varhato_Aratas,Profit_Szint,Gyozelem
Majomfa-Elite-1,8,2026-05-14,BRUTÁLIS TÁSKLI,0
Majomfa-Elite-2,13,2026-05-19,MAXIMÁLIS MÉSZÁRLÁS,0
Majomfa-Elite-3,13,2026-05-19,BRUTÁLIS TÁSKLI,1
Majomfa-Elite-4,16,2026-05-22,BRUTÁLIS TÁSKLI,0
Majomfa-Elite-5,7,2026-05-13,EXTRA FASA,0
Majomfa-Elite-6,20,2026-05-26,MAXIMÁLIS MÉSZÁRLÁS,0
Majomfa-Elite-7,13,2026-05-19,MAXIMÁLIS MÉSZÁRLÁS,1
Majomfa-Elite-8,11,2026-05-17,MAXIMÁLIS MÉSZÁRLÁS,0
Majomfa-Elite-9,14,2026-05-20,MAXIMÁLIS MÉSZÁRLÁS,1
Majomfa-Elite-10,11,2026-05-17,BRUTÁLIS TÁSKLI,1
Majomfa-Elite-11,19,2026-05-25,BRUTÁLIS TÁSKLI,0
Majomfa-Elite-12,14,2026-05-20,MAXIMÁLIS MÉSZÁRLÁS,0
